filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20,label
cough-heavy-hte8VptUoGVFEqvHpbh5brgfcNP2,0.309277296,0.026975576,1803.12302,1610.208629,3418.994141,0.121453179,-356.8205566,101.5689392,-28.54382133,-0.295161217,-14.51576519,6.351990223,-12.79772282,-4.686418533,-7.408648491,-10.77292061,-3.327215433,-4.710785389,10.76302052,0.748671234,-5.107099533,-3.581698656,-5.185194016,-4.730515003,-13.08050728,-6.199188232,-0.222788736,0.017558936,0.04535722,0.138227582,0.193542495,-0.053581309,-0.056353878,-0.073090225,0.115602076,-0.128393754,-0.160234705,0.020552529,0.00127397,0.154426381,0.012304854,0.048181724,0.054705292,-0.092606239,-0.004074536,-0.009041965,-0.168679118,-0.015931385,-0.018645445,-0.018531406,0.083355896,0.042496305,0.061383709,0.040145304,0.11417684,-0.014411688,-0.049924091,-0.025930749,-0.045678873,0.041603565,0.032137271,0.039569702,-0.028652465,0.002600727,0.048241977,-0.037537407,covid
cough-shallow-QjBZv868nydJzk0ZzwgKDHSG6Q82,0.369727582,0.090256184,2073.045599,1921.397976,4125.10376,0.121889468,-303.7221069,66.26728821,-13.15583992,15.72239876,-23.56047249,18.570467,-14.98237705,-8.279063225,-20.25798416,-19.11388397,-24.96105957,-15.45806694,1.798758745,-11.55113602,-5.52994442,-7.417243004,-15.62563515,-8.805659294,-4.092432499,-11.24335384,-0.005423087,0.002048987,0.016275132,0.009310625,-0.016144346,-0.026371611,-0.010754585,-0.003309585,-0.019947343,-0.024272354,0.005231804,0.031672265,0.024013355,0.006434096,0.0072192,0.012193008,-0.000347941,-0.019804275,-0.0216501,-0.002895117,-0.025654158,-0.008303315,0.021039901,-0.002423717,-0.031512406,-0.02023511,-0.002140027,-0.008592017,-0.02047793,-0.017533051,0.002885483,0.03127192,0.037009735,0.010967458,-0.000839202,0.0206641,0.021266226,-0.016089527,-0.026039207,0.010769747,covid
pos-0421-092-cough-m-53,0.334862024,0.02582543,2378.157877,1837.929976,4174.002075,0.195543077,-461.9284668,64.60335541,0.100224532,10.27095985,-8.108021736,7.461580753,-25.43368912,-9.207994461,-11.28066254,-8.241454124,1.316127181,-14.06941605,-5.957350731,-7.455938339,-1.690422177,-8.017926216,-4.834618092,0.496749848,-2.270895004,-2.657447815,2.222827435,0.695269525,-0.296413839,0.297673464,-0.095418364,0.278629988,-0.25754869,-0.167230293,-0.088441052,-0.153087333,0.036728144,-0.176060125,-0.17899555,-0.04596252,-0.013201095,-0.158411443,-0.09672232,-0.047908813,0.038657878,0.024307486,-0.58600229,-0.300660372,-0.01643406,-0.063128009,-0.040235978,-0.02819502,0.090043932,-0.066244192,0.025232442,0.0106458,-0.011371343,0.059690431,0.018487688,0.021697199,-0.036916848,0.036655769,0.004770363,-0.040803488,-0.034975655,0.049578175,covid
pos-0422-096-cough-m-31,0.362191647,0.077937983,2266.94546,1764.567442,4113.24056,0.175281666,-320.3189392,73.55955505,-29.05811691,26.31648254,-26.06049347,6.51392746,-23.56557465,-6.290836811,-10.19919491,-7.428458214,-6.312978268,-10.21731377,1.260500193,-11.59835434,-1.837203503,-9.892962456,-4.77588892,-3.061489582,3.39815855,-7.010863304,1.770733953,0.939242244,0.078543998,0.311685503,0.083053142,0.084796011,-0.313019991,-0.221523285,-0.128772631,-0.076778926,-0.149831429,-0.119048052,-0.042582776,-0.092378028,0.144377321,-0.094567426,-0.065467231,0.047163635,-0.053130776,-0.001090141,-0.257406205,-0.073438592,0.034200542,-0.057929423,-0.031364407,-0.013569125,0.059750672,0.013153988,0.0508768,0.019447623,-0.010225751,0.033714607,-0.008707424,-0.017749002,0.010032058,0.045254707,0.014869099,-0.004971721,0.011205541,0.02500274,covid
pos-0421-094-cough-m-51,0.400665015,0.065813228,2385.203326,1833.001714,4335.949707,0.180729619,-292.0627136,69.57894897,-33.95558548,40.20353317,-23.11061859,0.089369103,-28.70979881,-5.161098003,-15.54339027,2.438821793,-6.795052052,-13.55015945,5.618543625,-14.89660454,3.15403533,-12.3149662,-9.061207771,-2.145398617,-3.889239311,-10.10547543,0.299056083,0.213969648,0.032796893,0.018371157,-0.090252303,-0.016758574,0.111197956,0.063699514,0.077571668,-0.012678562,-0.15656887,-0.039561871,-0.015312923,-0.064978868,0.101646699,0.080425352,-0.086820796,-0.059729643,-0.078387603,-0.082278021,0.026678173,0.022233553,-0.023372177,-0.058582421,-0.033707954,0.006878567,0.00382876,-0.005076983,0.01316719,0.025707206,0.005514135,-0.032086745,-0.026117874,0.023101188,0.022124454,-0.012022157,-0.004956464,-0.004915013,-0.014378965,0.017150315,covid
cough-shallow-hNAGUEhL2Nh7V89at3yFEjQYo6c2,0.351491243,0.027681923,1715.378638,1905.517974,3689.530535,0.125993236,-463.2567749,47.23523712,-1.711265326,2.327963114,6.720355511,0.88524729,-5.081976414,-1.573733687,-1.582770824,-2.951839447,-1.081362963,-2.645979404,-3.131515503,-3.246185541,-3.801576138,-3.977428198,-2.445502758,-3.138111591,-4.214175701,-3.232359886,0.015128829,0.021443065,0.020773115,0.017787747,0.011829316,0.004135225,-0.0029122,-0.007573532,-0.009937403,-0.011435004,-0.013187292,-0.014777067,-0.014614576,-0.01154353,-0.006155078,-0.000549012,0.003257347,0.004808821,0.005237179,0.005865045,0.000673341,0.003508963,0.00837099,0.009813202,0.004724818,-0.00426938,-0.011065596,-0.011590356,-0.00737224,-0.003836536,-0.004985529,-0.009531057,-0.01213863,-0.008580212,0.000106006,0.008390517,0.011224752,0.008519162,0.004939075,0.005277873,covid
pos-0421-086-cough-m-65,0.423390657,0.045958377,1953.875884,1841.229434,4010.060628,0.118139196,-400.5546875,82.68526459,-15.98118782,17.27403259,-26.55391693,1.399505615,-22.01638031,-1.597814441,-13.18799877,-9.483166695,1.16394639,-4.737539291,1.40592432,-10.23389816,-2.003166199,-9.886787415,-3.189831257,-5.250478268,-4.051860332,-2.482948542,1.727925062,0.59330833,-0.045629326,0.296497285,-0.103240117,0.115484133,-0.26266408,-0.168876752,-0.190457553,0.045725551,0.049043767,-0.107191935,0.04271974,-0.044233304,0.00106706,-0.065103143,0.051915884,-0.007406252,-0.026361426,-0.024480864,-0.135707691,0.156156287,0.003643239,-0.155069962,0.088682093,0.01246131,0.094484136,0.017402133,-0.0335286,-0.03085061,0.006880999,-0.00270418,-0.061372414,0.00479488,0.005571169,0.054901239,-0.004316427,-0.046124175,0.001001655,0.0120446,covid
pos-0421-087-cough-f-40,0.459671825,0.027777113,1909.696753,1886.206615,3996.402995,0.113618074,-450.2633057,61.5644989,-5.516103745,16.89570618,-9.314869881,0.212026879,-10.68412399,-7.696957111,-3.935188293,-1.963632107,-4.859331131,-9.54076004,-3.965773344,-7.999577045,-4.897375107,-7.969946384,-8.215626717,-4.836800575,-1.229676962,-5.726961613,-0.290729851,0.121537827,0.239432678,0.021858193,0.13779375,0.009387877,0.036075059,-0.011240133,-0.020587871,0.020255253,-0.016902467,-0.030790877,-0.06293045,-0.033487774,-0.040726297,-0.022204958,0.002660297,-0.001559957,-0.020646283,-0.033024345,-0.700248599,-0.355225116,-0.005870095,-0.089888774,0.070126705,0.030978559,0.070043989,0.02171311,0.020274481,0.01471506,0.000872853,0.013525982,-0.027652308,0.002980418,-0.00667066,-0.010940093,-0.000290647,0.027991034,-0.004517158,-0.01327485,covid
cough-heavy-3CwioNQVDBQ6CttLyFVRJpMpVHk2,0.617521822,0.0047672,2434.453569,2470.180196,5392.272949,0.137084961,-361.2188721,96.15544891,-13.51267338,11.62254238,-14.03256321,21.03529549,-19.33926201,-7.518304348,-3.589023829,-8.409998894,-5.117888927,-6.76460886,-14.46319485,-2.047960043,-8.324814796,1.760439515,-10.19937515,2.041679144,-11.89374256,-4.198473454,1.664393067,-1.904600263,0.430271298,-1.793376923,-0.640073538,-1.084926963,-0.122620709,-0.636373699,-0.704429209,-1.491030097,-0.005445053,0.029599985,0.097794034,-0.979627132,-0.248290971,-0.344836116,-0.271309435,-0.392888218,-0.399086148,-0.316715509,-0.346653134,0.010857572,0.759288609,-0.155358955,0.567560256,-0.205550805,-0.270565838,-0.440020293,-0.485755652,-0.540473223,-0.428454787,0.024700066,0.52041465,0.118050151,0.345515639,0.461386591,0.014709238,-0.00899909,0.330139875,-0.493566662,covid
cough-shallow-6T43bddKoKfG7MwnJWvrPZSsyrc2,0.463166445,0.023960546,2756.662871,1939.62196,4879.091724,0.312410117,-455.4429932,38.41777039,-61.26556778,31.33931923,-10.2373209,22.30879021,2.782356024,4.255664825,-7.925517559,-4.528625011,0.426091999,-13.79768276,2.93698597,-13.48420525,-6.86362505,-7.767501831,-10.15608311,-6.123400211,-1.630578399,-1.275078654,-0.062959589,0.010568648,0.041147184,-0.045874808,-0.023818694,0.013817554,0.0646744,0.143201604,0.074866682,-0.062882051,-0.067579165,-0.043431401,-0.022898603,0.082567982,0.085504986,-0.04111363,-0.054433495,-0.030698823,-0.059270687,-0.007566412,-0.119986236,-0.066819042,0.001071463,-0.023591379,0.00247553,-0.028815554,-0.066638604,-0.080239534,-0.059653312,0.031347681,0.043100584,0.024561014,0.023922529,-0.021862723,-0.005068088,0.072494566,0.05418393,0.002988576,0.026897477,0.016592534,covid
cough-heavy-QjBZv868nydJzk0ZzwgKDHSG6Q82,0.411223054,0.062716424,2583.166934,2139.571025,4960.213216,0.195427789,-341.6690063,48.31515884,-20.56740952,18.05030441,-16.14284897,26.60390854,-12.09328842,-15.43526649,-22.63595772,-10.5868082,-14.64215755,-13.20374107,-4.272643089,-12.16137028,-5.901212215,-9.495268822,-5.752599716,-12.5530777,-14.74346066,-5.856838703,1.785153985,-0.308967233,-0.554805815,-0.045073714,-0.33672455,0.319475532,-0.044658858,-0.052921906,-0.102966994,0.022336325,-0.051281452,0.031489782,-0.110174701,-0.1202631,-0.013050437,0.021354314,-0.111791834,-0.158276677,0.034056574,-0.057979874,0.416433185,0.079996139,-0.025604917,0.016028007,0.001118843,0.024377406,0.004997547,0.044679545,0.051611081,0.06421297,0.042632431,0.00987403,0.061759219,0.026685027,0.009411993,0.03060616,0.026649598,0.02421153,-0.001084116,0.008084468,covid
cough-shallow-hte8VptUoGVFEqvHpbh5brgfcNP2,0.363964438,0.065670423,1912.841678,1714.528655,3665.354919,0.125320435,-290.7295837,99.88436127,-21.74925232,10.12537956,-10.96287823,18.95010185,-17.0470295,-6.993889332,-12.32404709,-5.461853027,0.296642631,-10.39994049,2.882431746,-4.604339123,-1.949505329,-0.533755779,-8.028723717,-4.032121658,-8.291357994,-1.925892472,-0.068263531,0.355666906,0.138981029,-0.212253258,0.027425701,0.034631837,0.022248765,0.033518333,0.230975464,0.063725121,0.12093392,0.157962397,0.035976585,0.18041797,0.066001199,0.005226664,-0.056209158,-0.029510036,-0.022483945,0.000643201,-0.148414001,-0.015288298,0.045934867,-0.0027492,0.075296231,0.024094597,-0.030555457,-0.004308581,0.094087951,0.036731195,-0.020074589,0.065606222,0.029078655,-0.015819728,0.012789967,0.017228855,-0.044451565,-0.069890022,-0.020927647,0.0291533,covid
pos-0421-093-cough-f-24,0.409738839,0.028128421,2175.508176,1985.340537,4341.133626,0.141063549,-440.5820313,40.79979706,-6.74805069,19.95235252,-22.17736816,-3.095907927,-9.884745598,-5.134473324,-8.026629448,-7.554244518,-6.416486263,-5.00158453,1.367462754,-5.801293373,-1.168254256,-7.31183672,-4.430621624,-4.765462399,-6.004795074,-3.816396713,1.505415201,0.709537625,-0.091050975,0.16713044,-0.128326252,0.00757613,-0.130067945,-0.107598178,-0.002593297,-0.038642302,-0.122239456,-0.152963251,0.057224397,-0.066447623,-0.071386702,-0.075802863,-0.088485949,-0.03936312,-0.084908187,-0.040264659,-0.017712487,0.089827709,0.024667332,-0.012789532,0.071696699,-0.026711607,-0.033775475,-0.028948424,0.024407633,0.004612615,-0.017494997,0.005794386,0.007791937,0.012423115,-0.016749406,0.026235854,0.037259914,-0.009867026,0.002051447,0.008848348,covid
#NAME?,0.512198865,0.032608017,3509.489791,2784.724601,6721.549479,0.248092086,-380.5923767,43.96115112,-21.00277138,-13.53126812,-14.66915798,-6.307584286,-9.054981232,-25.73493385,-7.942780495,-10.28315449,-14.05412102,-9.932127953,-10.17910671,-6.426995754,-7.963433266,1.759291053,-4.024677277,-0.621166289,0.452050328,2.733161688,0.229553893,0.316904187,0.140242934,-0.007875834,-0.125111088,-0.120378084,-0.081361786,-0.023930479,-0.110818088,-0.167806342,-0.108251035,-0.04787764,-0.051850036,-0.068361007,-0.015951904,0.002845075,0.032004818,0.055331733,0.050513778,0.063145764,-0.26914981,-0.178731993,0.012339194,-0.000882718,0.074628063,0.074667387,0.049572196,-0.0148771,0.01122806,0.08919204,0.026468225,-0.024302233,0.02193412,0.039309192,0.009258391,0.01788456,0.028422857,0.007333471,0.018957373,-0.024989359,not_covid
#NAME?,0.34829697,0.039313007,1526.359728,1282.259523,2386.895752,0.095377604,-304.4047241,133.2972565,-70.99810028,-9.579423904,-17.73236084,-5.905378342,-35.41452789,-8.076849937,-17.41110611,-12.78217411,3.246626377,-14.75041676,3.458026409,4.25097084,-3.975894451,-1.914072514,0.8928141,-13.62358952,-0.127162233,0.44558385,0.05814404,0.103542335,0.079364777,-0.09477406,-0.184541047,-0.160962299,-0.00652226,0.038576514,0.010084943,0.109459154,0.146802127,0.07649722,-0.059724219,0.015788093,0.013044198,-0.005923165,0.036193829,-0.039670177,0.099872358,0.063088641,0.202699766,0.115647018,0.164022803,0.1853984,0.021753268,0.053074382,0.04523249,-0.017735194,0.055072896,0.072162628,-0.031487092,0.075561188,0.038157031,-0.077868357,-0.008023997,0.049264882,0.073300019,-0.020422349,-0.059918672,0.016990127,not_covid
#NAME?,0.458157897,0.124863856,2760.735927,2606.791027,5586.47054,0.118552879,-193.1815491,54.29738235,-7.362637997,13.54184818,8.729895592,6.05327177,-3.725232124,4.111278057,-5.673363209,6.118658066,2.563511848,2.342387915,1.367313385,7.12776804,0.088585839,5.122900009,1.993227243,2.34092927,-2.875513792,2.829341173,0.034953222,0.316020787,0.348086417,-0.203519344,0.09856537,-0.041503958,0.088863894,-0.206757903,-0.020610919,0.005236974,-0.109351031,0.061755005,-0.142029509,0.030370018,0.101965427,-0.063400917,-0.049024794,-0.104634993,0.12164887,-0.028569343,-0.275637686,-0.188650072,0.049689773,0.031481404,0.095100701,0.056052014,0.052337654,0.095187515,-0.034371957,-0.075047225,0.002842665,-0.050167724,0.078040086,0.033802889,0.023002969,0.090755887,0.003033923,0.035294078,0.008330434,-0.000834339,not_covid
#NAME?,0.475579143,0.002552317,3668.663865,3029.887167,7403.035482,0.327071578,-457.4445496,53.76470184,2.954139471,13.522789,1.005380869,16.29602242,-8.133190155,3.595787287,-4.910079002,6.905350208,-5.800283909,3.4742589,-7.976379395,1.676265597,-9.405162811,4.994161129,-4.478343964,-5.791959286,1.031919122,-3.146394014,0.268409342,0.002644861,0.074124448,0.028988473,0.065885007,-0.042178456,-0.032324892,0.008604703,0.016128136,0.026930416,-0.016613927,-0.010683203,0.002991392,-0.007552236,-0.027622921,-0.009363628,-0.008791109,-0.004817515,-0.021826891,-0.034070116,-0.359943211,-0.041351389,-0.015209911,-0.017148361,-0.009369433,-0.032444384,0.017623799,0.007992626,0.016943648,0.011109813,0.014598376,0.030918965,0.021972172,-0.002566064,0.031693358,0.017398387,-0.007630037,-0.002862849,0.005924997,0.004211141,not_covid
#NAME?,0.429178685,0.10044121,2054.374385,2254.695326,4537.075806,0.109607838,-185.7207947,117.2925491,-5.195735455,-0.648980319,-19.37630653,10.55703354,-17.69851303,9.12989521,-12.73590279,14.2446022,-12.84227467,1.604460359,0.159565389,8.234793663,-2.389765739,-1.096943378,10.45713615,2.623342991,4.826277733,1.299756527,-0.258207262,0.131611481,0.017484047,-0.45801121,-0.105033807,0.189145699,0.15769273,-0.051688388,-0.054454971,0.11451675,0.06391824,0.10551843,0.069507129,0.003601688,0.004320065,-0.003847815,0.067626588,-0.077423722,0.065187477,-0.032795932,0.097624235,-0.015847189,0.049050588,-0.021568963,-0.013868202,-0.039186105,0.017593324,0.039248608,-0.058773801,-0.014148045,-0.006390823,0.059062604,0.004539803,-0.017522924,-0.00895201,-0.032407291,-0.043516081,-0.029623292,0.020796165,-0.015582811,not_covid
